,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
15941,True,0.13559722900390625,42,0,0,0,0,0,0.0
15942,True,0.11045432090759277,46,1,1,1,1,1,0.05555555555555555
15943,True,0.23756980895996094,53,5,3,3,2,5,3.116279069767442
15944,True,0.10454058647155762,38,0,0,0,0,0,0.0
15945,True,3.6967692375183105,744,74,5,7,4,10,1.0108991825613078
15946,True,0.1184544563293457,40,0,0,0,0,0,0.0
15947,True,0.08920550346374512,34,2,2,1,2,2,1.2916666666666667
15948,True,1.2034173011779785,461,51,9,9,6,7,1.1042128603104213
15949,True,0.06395220756530762,34,1,1,1,1,1,0.16666666666666666
15950,True,0.08949637413024902,37,1,1,1,1,1,0.7407407407407407
15951,True,0.19913005828857422,63,3,3,2,2,2,0.6415094339622641
15952,True,0.17768383026123047,64,4,4,3,3,3,0.7037037037037037
15953,True,0.11342239379882812,37,0,0,0,0,0,0.0
15954,True,0.11715531349182129,51,1,1,1,1,1,0.17073170731707318
15955,True,0.09746456146240234,34,0,0,0,0,0,0.0
15956,True,0.20751142501831055,67,1,1,1,1,1,0.38596491228070173
15957,True,0.06948137283325195,32,0,0,0,0,0,0.0
15958,True,0.11494207382202148,44,1,1,1,1,1,0.08823529411764706
15959,True,0.1627790927886963,44,1,1,1,1,1,0.6764705882352942
15960,True,0.35654234886169434,73,5,3,3,2,2,0.42857142857142855
15961,True,0.07997488975524902,35,2,2,2,2,2,0.96
15962,True,0.5876202583312988,156,13,5,7,4,6,1.1917808219178083
15963,True,0.07349824905395508,37,2,2,2,2,1,0.2222222222222222
15964,True,0.13833904266357422,23,0,0,0,0,0,0.0
15965,True,0.22316408157348633,63,6,3,4,3,3,1.2452830188679245
15966,True,0.2950136661529541,74,7,2,4,3,7,2.125
15967,True,0.2780911922454834,99,7,5,3,3,2,0.9101123595505618
15968,True,0.36362695693969727,122,13,4,4,3,6,0.8482142857142857
15969,True,0.13960695266723633,38,0,0,0,0,0,0.0
15970,True,0.10503339767456055,27,0,0,0,0,0,0.0
15971,True,0.06701302528381348,34,0,0,0,0,0,0.0
15972,True,0.14288830757141113,49,0,0,0,0,0,0.0
15973,True,0.06382870674133301,29,0,0,0,0,0,0.0
15974,True,0.09736442565917969,33,0,0,0,0,0,0.0
15975,True,0.07158875465393066,29,0,0,0,0,0,0.0
15976,True,0.16049671173095703,46,2,2,2,1,1,0.5
15977,True,0.39083123207092285,160,16,8,6,6,4,0.96
15978,True,0.2188253402709961,56,5,4,3,4,3,0.9130434782608695
15979,True,0.067779541015625,31,1,1,1,1,1,0.5714285714285714
15980,True,0.17850732803344727,50,2,2,2,2,2,1.3
15981,True,0.06319403648376465,27,0,0,0,0,0,0.0
15982,True,0.14853501319885254,41,1,1,1,1,1,0.45161290322580644
15983,True,0.13087940216064453,52,2,1,2,1,2,0.2619047619047619
15984,True,0.10395526885986328,31,0,0,0,0,0,0.0
15985,True,0.42220139503479004,154,8,3,4,2,4,0.6805555555555556
15986,True,0.2139279842376709,85,7,2,2,1,3,0.72
15987,True,0.12236285209655762,40,1,1,1,1,1,0.13333333333333333
15988,True,0.06598138809204102,32,0,0,0,0,0,0.0
15989,True,0.14268803596496582,40,0,0,0,0,0,0.0
15990,True,0.08965492248535156,42,1,1,1,1,1,0.09375
15991,True,0.08180975914001465,37,1,1,1,1,1,0.6666666666666666
15992,True,0.13320684432983398,47,0,0,0,0,0,0.0
15993,True,0.12885808944702148,35,0,0,0,0,0,0.0
15994,True,0.07665014266967773,30,0,0,0,0,0,0.0
15995,True,1.0367984771728516,345,34,6,7,5,5,1.1940298507462686
15996,True,0.0732567310333252,36,0,0,0,0,0,0.0
15997,True,0.21563220024108887,62,3,3,3,2,2,0.40384615384615385
15998,True,0.14424633979797363,54,3,3,2,3,2,0.8181818181818182
15999,True,0.12526464462280273,34,0,0,0,0,0,0.0
16000,True,0.10737061500549316,37,1,1,1,1,1,0.2962962962962963
16001,True,0.10765290260314941,36,0,0,0,0,0,0.0
16002,True,0.17203211784362793,51,3,2,3,2,3,0.34146341463414637
16003,True,0.07294297218322754,34,0,0,0,0,0,0.0
16004,True,0.0924830436706543,34,0,0,0,0,0,0.0
