,satisfied,time,n_iter,n_split,vis_row,vis_column,vis_block,max_depth,avg_depth
16845,True,0.06956887245178223,32,0,0,0,0,0,0.0
16846,True,0.10031270980834961,29,0,0,0,0,0,0.0
16847,True,0.061408042907714844,28,0,0,0,0,0,0.0
16848,True,0.17560148239135742,61,1,1,1,1,1,0.19607843137254902
16849,True,0.1036214828491211,38,0,0,0,0,0,0.0
16850,True,0.10201621055603027,40,0,0,0,0,0,0.0
16851,True,0.0843515396118164,36,1,1,1,1,1,0.23076923076923078
16852,True,0.18840694427490234,70,6,4,3,3,4,1.75
16853,True,0.6677477359771729,152,19,5,6,4,4,1.528169014084507
16854,True,1.207632303237915,501,49,9,8,6,7,0.9898167006109979
16855,True,0.06883692741394043,35,1,1,1,1,1,0.12
16856,True,0.4448063373565674,156,14,7,7,5,4,0.9863013698630136
16857,True,0.058377981185913086,24,0,0,0,0,0,0.0
16858,True,0.09230232238769531,32,0,0,0,0,0,0.0
16859,True,0.22230195999145508,47,3,1,2,1,3,0.3783783783783784
16860,True,0.1618819236755371,55,0,0,0,0,0,0.0
16861,True,0.13010287284851074,51,3,3,2,2,3,1.1951219512195121
16862,True,0.12007808685302734,45,0,0,0,0,0,0.0
16863,True,1.1719939708709717,441,41,9,5,5,6,1.0324825986078887
16864,True,0.3807251453399658,162,10,4,4,3,4,1.125
16865,True,0.33527374267578125,104,12,6,4,4,3,1.4680851063829787
16866,True,0.06542849540710449,31,0,0,0,0,0,0.0
16867,True,0.7145864963531494,200,18,7,4,4,4,1.3421052631578947
16868,True,0.1140146255493164,41,0,0,0,0,0,0.0
16869,True,0.07310748100280762,33,0,0,0,0,0,0.0
16870,True,0.07290029525756836,34,0,0,0,0,0,0.0
16871,True,0.11486315727233887,42,1,1,1,1,1,0.03125
16872,True,0.07480573654174805,32,0,0,0,0,0,0.0
16873,True,0.20613646507263184,64,4,4,3,4,2,0.7037037037037037
16874,True,0.10663890838623047,42,0,0,0,0,0,0.0
16875,True,0.1523747444152832,60,2,2,2,2,1,0.5
16876,True,0.3304290771484375,86,6,3,3,2,2,0.42105263157894735
16877,True,1.3848769664764404,426,50,9,8,5,7,1.1298076923076923
16878,True,0.08132743835449219,33,1,1,1,1,1,0.6086956521739131
16879,True,0.14989566802978516,45,2,2,1,1,2,0.3142857142857143
16880,True,0.12701869010925293,59,2,1,2,1,1,0.3673469387755102
16881,True,0.10234332084655762,34,1,1,1,1,1,0.5416666666666666
16882,True,0.09650611877441406,42,3,3,3,3,3,1.5
16883,True,0.0632772445678711,29,0,0,0,0,0,0.0
16884,True,0.08426809310913086,42,1,1,1,1,1,0.0625
16885,True,0.0672914981842041,36,0,0,0,0,0,0.0
16886,True,0.21404385566711426,74,4,2,3,2,3,0.5625
16887,True,0.12214350700378418,33,0,0,0,0,0,0.0
16888,True,0.08884572982788086,46,1,1,1,1,1,0.16666666666666666
16889,True,0.23633623123168945,58,4,2,3,2,3,0.5208333333333334
16890,True,0.11955523490905762,44,0,0,0,0,0,0.0
16891,True,0.0598444938659668,23,0,0,0,0,0,0.0
16892,True,0.12916040420532227,55,3,2,2,2,2,0.6666666666666666
16893,True,0.4791572093963623,117,14,6,7,4,6,1.158878504672897
16894,True,0.14255332946777344,53,4,4,3,3,4,0.7209302325581395
16895,True,0.18318986892700195,79,4,2,3,3,2,0.5507246376811594
16896,True,0.16133594512939453,47,3,2,2,2,3,2.135135135135135
16897,True,0.06789660453796387,32,0,0,0,0,0,0.0
16898,True,0.1545865535736084,49,2,2,2,2,1,0.5641025641025641
16899,True,0.0832359790802002,39,1,1,1,1,1,0.2413793103448276
16900,True,0.10111546516418457,29,0,0,0,0,0,0.0
16901,True,0.07628679275512695,32,0,0,0,0,0,0.0
16902,True,0.06014585494995117,26,0,0,0,0,0,0.0
16903,True,0.1085357666015625,34,0,0,0,0,0,0.0
16904,True,0.13923311233520508,46,1,1,1,1,1,0.9166666666666666
16905,True,3.730989456176758,1328,160,8,8,6,9,1.0477996965098635
16906,True,0.1528005599975586,40,0,0,0,0,0,0.0
16907,True,0.10915708541870117,36,0,0,0,0,0,0.0
16908,True,0.06782007217407227,30,0,0,0,0,0,0.0
16909,True,0.10198307037353516,40,0,0,0,0,0,0.0
16910,True,1.131744146347046,298,31,6,6,4,6,1.1041666666666667
16911,True,1.350914478302002,506,61,6,8,5,5,1.0423387096774193
16912,True,0.1653432846069336,70,6,4,3,3,3,1.0
16913,True,0.10357069969177246,39,0,0,0,0,0,0.0
16914,True,0.2101447582244873,68,5,2,5,3,3,0.6551724137931034
16915,True,0.12003016471862793,43,0,0,0,0,0,0.0
16916,True,0.07803726196289062,34,0,0,0,0,0,0.0
16917,True,0.07567977905273438,34,1,1,1,1,1,0.4583333333333333
16918,True,0.12214303016662598,39,1,1,1,1,1,0.06896551724137931
16919,True,0.9952728748321533,222,27,6,5,3,6,1.028301886792453
16920,True,0.14970135688781738,39,0,0,0,0,0,0.0
16921,True,0.09360694885253906,36,1,1,1,1,1,0.5
16922,True,0.0708475112915039,34,0,0,0,0,0,0.0
16923,True,0.1018373966217041,32,0,0,0,0,0,0.0
16924,True,0.12560176849365234,48,1,1,1,1,1,0.15789473684210525
16925,True,0.2557964324951172,96,7,4,2,3,3,1.058139534883721
16926,True,0.1821296215057373,53,4,3,2,1,1,0.18604651162790697
16927,True,0.059987545013427734,24,0,0,0,0,0,0.0
16928,True,0.12204670906066895,37,1,1,1,1,1,0.1111111111111111
16929,True,0.24093890190124512,77,4,4,2,2,2,0.5970149253731343
16930,True,1.9797496795654297,534,71,6,9,5,7,0.9904580152671756
16931,True,0.11496090888977051,44,0,0,0,0,0,0.0
16932,True,0.49278903007507324,189,17,7,4,4,5,0.9385474860335196
16933,True,0.4094259738922119,158,12,6,6,3,3,0.6554054054054054
16934,True,0.16248202323913574,56,3,3,3,3,3,0.8695652173913043
16935,True,0.09948611259460449,38,0,0,0,0,0,0.0
16936,True,0.10083532333374023,33,0,0,0,0,0,0.0
16937,True,0.3714172840118408,112,12,3,5,2,4,0.7941176470588235
16938,True,0.2718935012817383,69,4,1,3,1,1,0.864406779661017
16939,True,0.06656265258789062,28,0,0,0,0,0,0.0
16940,True,0.09711122512817383,29,0,0,0,0,0,0.0
16941,True,0.11392450332641602,52,3,3,2,3,2,0.8095238095238095
16942,True,0.1747446060180664,51,4,2,2,1,4,0.4878048780487805
16943,True,0.0710301399230957,33,1,1,1,1,1,0.6086956521739131
16944,True,0.0874476432800293,27,0,0,0,0,0,0.0
16945,True,0.9254424571990967,199,25,6,5,3,5,0.798941798941799
16946,True,0.7676355838775635,194,17,7,5,4,4,1.0108695652173914
16947,True,0.1635878086090088,40,3,2,2,1,2,0.7333333333333333
16948,True,0.22741484642028809,54,5,4,5,2,4,0.7954545454545454
16949,True,0.15801453590393066,36,0,0,0,0,0,0.0
16950,True,0.1301414966583252,42,1,1,1,1,1,0.65625
16951,True,0.16853713989257812,37,0,0,0,0,0,0.0
16952,True,0.10749030113220215,41,0,0,0,0,0,0.0
16953,True,0.09675812721252441,32,0,0,0,0,0,0.0
16954,True,0.05678272247314453,21,0,0,0,0,0,0.0
16955,True,7.677245855331421,2506,280,9,9,7,11,1.076121794871795
16956,True,0.15076804161071777,35,2,2,2,2,2,0.76
16957,True,0.06391096115112305,31,0,0,0,0,0,0.0
16958,True,0.06237220764160156,25,0,0,0,0,0,0.0
16959,True,0.16608166694641113,51,3,2,2,3,3,0.6829268292682927
16960,True,0.0932309627532959,47,1,1,1,1,1,0.7567567567567568
16961,True,0.14036178588867188,38,0,0,0,0,0,0.0
16962,True,0.07957720756530762,33,0,0,0,0,0,0.0
16963,True,0.5120539665222168,171,18,5,6,4,7,1.173913043478261
16964,True,0.06352472305297852,26,0,0,0,0,0,0.0
16965,True,0.30511975288391113,73,5,2,3,2,3,0.746031746031746
16966,True,1.6277878284454346,391,46,6,6,4,6,1.083989501312336
16967,True,0.15035605430603027,37,1,1,1,1,1,0.6666666666666666
16968,True,0.06724071502685547,24,0,0,0,0,0,0.0
16969,True,0.08580517768859863,43,1,1,1,1,1,0.6060606060606061
16970,True,0.11759424209594727,43,0,0,0,0,0,0.0
16971,True,0.16336536407470703,46,1,1,1,1,1,0.4722222222222222
16972,True,0.1372072696685791,46,2,2,2,2,2,0.9722222222222222
16973,True,0.13695955276489258,34,0,0,0,0,0,0.0
16974,True,0.06109786033630371,25,0,0,0,0,0,0.0
16975,True,0.5518786907196045,121,11,3,3,2,4,1.063063063063063
16976,True,0.1599123477935791,70,3,2,2,2,2,0.3333333333333333
16977,True,0.1287672519683838,40,1,1,1,1,1,0.5666666666666667
16978,True,0.1967623233795166,38,1,1,1,1,1,0.8928571428571429
16979,True,0.2628011703491211,99,9,6,5,5,4,1.3932584269662922
16980,True,0.11163473129272461,38,1,1,1,1,1,0.07142857142857142
16981,True,0.16306424140930176,44,0,0,0,0,0,0.0
16982,True,0.11496543884277344,46,1,1,1,1,1,0.1111111111111111
16983,True,0.14348149299621582,35,0,0,0,0,0,0.0
16984,True,0.0785531997680664,42,1,1,1,1,1,0.125
16985,True,0.2135145664215088,102,9,3,4,4,2,0.7065217391304348
16986,True,0.10091876983642578,32,0,0,0,0,0,0.0
16987,True,0.05858349800109863,21,0,0,0,0,0,0.0
16988,True,0.08606576919555664,49,2,2,2,2,1,0.15384615384615385
16989,True,0.15787625312805176,45,2,2,2,1,1,0.34285714285714286
16990,True,0.1350865364074707,54,4,3,2,2,2,0.6363636363636364
16991,True,0.10026884078979492,23,0,0,0,0,0,0.0
16992,True,1.0143229961395264,480,46,7,9,6,5,0.8617021276595744
16993,True,0.14809918403625488,48,1,1,1,1,1,0.7105263157894737
16994,True,0.1546800136566162,56,3,3,3,3,3,0.8478260869565217
16995,True,0.09511303901672363,38,2,2,2,2,2,1.1785714285714286
16996,True,0.11383771896362305,42,1,1,1,1,1,0.09375
16997,True,0.20192766189575195,74,6,3,2,2,3,0.609375
16998,True,0.07487249374389648,38,2,2,2,2,2,0.25
16999,True,1.0732684135437012,404,29,5,5,4,5,0.8959390862944162
17000,True,0.29955577850341797,87,9,5,5,4,4,1.1688311688311688
17001,True,0.11321306228637695,32,0,0,0,0,0,0.0
17002,True,1.4841325283050537,366,48,9,7,6,6,0.9382022471910112
17003,True,0.10024690628051758,37,0,0,0,0,0,0.0
17004,True,0.06674885749816895,32,0,0,0,0,0,0.0
17005,True,0.21060729026794434,73,6,3,3,2,2,0.5873015873015873
17006,True,0.11036276817321777,39,0,0,0,0,0,0.0
17007,True,0.13186311721801758,35,0,0,0,0,0,0.0
17008,True,0.15053439140319824,50,1,1,1,1,1,0.175
17009,True,0.07321977615356445,32,0,0,0,0,0,0.0
17010,True,0.10519099235534668,37,0,0,0,0,0,0.0
17011,True,0.09213924407958984,25,0,0,0,0,0,0.0
17012,True,0.1105196475982666,42,0,0,0,0,0,0.0
17013,True,0.11380910873413086,37,0,0,0,0,0,0.0
17014,True,0.17435646057128906,52,1,1,1,1,1,0.35714285714285715
17015,True,0.4999678134918213,131,10,3,5,3,3,0.7768595041322314
17016,True,0.1677687168121338,59,2,1,2,2,1,0.4489795918367347
17017,True,0.18804216384887695,45,4,3,2,1,4,2.7714285714285714
17018,True,0.1652507781982422,44,1,1,1,1,1,0.11764705882352941
17019,True,0.18789243698120117,63,3,3,3,3,2,0.7547169811320755
17020,True,0.061972856521606445,28,0,0,0,0,0,0.0
17021,True,0.12279486656188965,44,1,1,1,1,1,0.11764705882352941
17022,True,0.14875221252441406,68,6,4,4,3,3,0.6551724137931034
17023,True,0.07119894027709961,29,0,0,0,0,0,0.0
17024,True,0.10396504402160645,35,0,0,0,0,0,0.0
17025,True,0.25365471839904785,64,6,3,5,2,3,1.1296296296296295
17026,True,0.08663582801818848,38,1,1,1,1,1,0.5357142857142857
17027,True,0.11076116561889648,29,0,0,0,0,0,0.0
17028,True,1.3999574184417725,544,53,8,8,8,5,0.8426966292134831
17029,True,0.06539583206176758,26,0,0,0,0,0,0.0
17030,True,0.36838722229003906,66,9,5,5,4,5,2.267857142857143
17031,True,0.17905211448669434,51,3,2,2,2,3,0.8048780487804879
17032,True,0.09314560890197754,37,2,2,2,2,2,1.1481481481481481
17033,True,0.06235146522521973,27,0,0,0,0,0,0.0
17034,True,0.2030940055847168,39,5,2,3,1,5,3.3793103448275863
17035,True,0.18805551528930664,50,0,0,0,0,0,0.0
17036,True,0.42365598678588867,112,12,6,3,3,7,2.6470588235294117
17037,True,0.10662245750427246,37,0,0,0,0,0,0.0
17038,True,0.673102617263794,252,25,6,7,5,6,0.9297520661157025
17039,True,0.14885210990905762,64,3,3,3,2,2,0.37037037037037035
17040,True,0.1070256233215332,29,0,0,0,0,0,0.0
17041,True,0.0709991455078125,30,0,0,0,0,0,0.0
17042,True,0.3159148693084717,93,6,2,3,1,3,0.9397590361445783
